,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,1896,Dcover Jcover-fuzz,time(Seconds):,2514,Jcover test verification on,time(Seconds):,3614
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
nacos-core 1.1.0,com.alibaba.nacos.core.utils,PropertyUtil,,,,4,19,0.8260869565217391,4,19,0.8260869565217391,4,19,0.8260869565217391
nacos-core 1.1.0,com.alibaba.nacos.core.utils,SystemUtils,,,,25,17,0.40476190476190477,25,17,0.40476190476190477,17,25,0.5952380952380952
nacos-core 1.1.0,com.alibaba.nacos.core.utils,InetUtils,,,,36,57,0.6129032258064516,36,57,0.6129032258064516,36,57,0.6129032258064516
nacos-core 1.1.0,com.alibaba.nacos.core.listener,StartingSpringApplicationRunListener.new ThreadFactory() {...},n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
nacos-core 1.1.0,com.alibaba.nacos.core.listener,StartingSpringApplicationRunListener.new Runnable() {...},n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,3,1,0.25
nacos-core 1.1.0,com.alibaba.nacos.core.listener,StartingSpringApplicationRunListener,,,,47,0,0.0,47,0,0.0,8,39,0.8297872340425532
nacos-core 1.1.0,com.alibaba.nacos.core.listener,StandaloneProfileApplicationListener,,,,8,3,0.2727272727272727,8,3,0.2727272727272727,8,3,0.2727272727272727
nacos-core 1.1.0,com.alibaba.nacos.core.listener,LoggingSpringApplicationRunListener,,,,17,0,0.0,17,0,0.0,0,17,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.enums,FileTypeEnum,,,,0,14,1.0,0,14,1.0,0,14,1.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.aspect,RequestLogAspect,,,,16,0,0.0,16,0,0.0,16,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.aspect,CapacityManagementAspect,,,,168,0,0.0,168,0,0.0,160,8,0.047619047619047616
nacos-config 1.1.0,com.alibaba.nacos.config.server.aspect,CapacityManagementAspect.LimitType,n/a,n/a,Could not find file,9,0,0.0,9,0,0.0,9,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.capacity,GroupCapacityPersistService,true,,,103,0,0.0,103,0,0.0,103,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.capacity,TenantCapacityPersistService.TenantCapacityRowMapper,n/a,n/a,Could not find file,9,0,0.0,9,0,0.0,9,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.capacity,TenantCapacityPersistService,true,,,84,0,0.0,84,0,0.0,84,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.capacity,CapacityService,true,,,210,0,0.0,210,0,0.0,210,0,0.0
nacos-config 1.1.0,com.alibaba.nacos.config.server.service.capacity,GroupCapacityPersistService.new PreparedStatementCreator() {...},n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,4,0,0.0
